fid,srtm_36_04,X,Y
"535",768.0000000000,-2.6379166667,42.3904166670
"536",782.0000000000,-2.6370833333,42.3904166670
"537",794.0000000000,-2.6362500000,42.3904166670
"538",801.0000000000,-2.6354166667,42.3904166670
"539",805.0000000000,-2.6345833333,42.3904166670
"540",808.0000000000,-2.6337500000,42.3904166670
"541",804.0000000000,-2.6329166667,42.3904166670
"542",797.0000000000,-2.6320833333,42.3904166670
"543",800.0000000000,-2.6312500000,42.3904166670
"544",810.0000000000,-2.6304166667,42.3904166670
"545",824.0000000000,-2.6295833333,42.3904166670
"546",835.0000000000,-2.6287500000,42.3904166670
"547",834.0000000000,-2.6279166667,42.3904166670
"548",822.0000000000,-2.6270833333,42.3904166670
"549",806.0000000000,-2.6262500000,42.3904166670
"550",793.0000000000,-2.6254166667,42.3904166670
"551",787.0000000000,-2.6245833333,42.3904166670
"552",803.0000000000,-2.6237500000,42.3904166670
"553",806.0000000000,-2.6229166667,42.3904166670
